NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Urban (>100k Einw.);Land;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Saft;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Kaffee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Vegane Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Cola;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Eistee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Tee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Nichts davon;2. Wie häufig trinkst Du Saft?;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Apfel;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Karotte;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Mango;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Pfirsich;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsche;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsch-Banane;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Schwarze Johannisbeere;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Orange;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Passionsfrucht;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Rhabarber;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Keine davon
1;f;38;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;1;0;0;0;0;Ein Mal am Tag;0;0;0;0;0;0;0;1;0;0;0
2;f;45;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
3;m;57;7;Thueringen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;1;1;0;Ein Mal pro Woche;1;0;1;1;1;1;1;1;1;0;0
4;f;55;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;0;1;1;0;1;1;1;0;-;-;-;-;-;-;-;-;-;-;-;-
5;m;49;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;1;1;0;1;1;1;0;1;0;0;0
6;f;39;1;Schleswig-Holstein;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;1;0;1;0;1;0;0;0;Ein Mal pro Woche;1;0;0;0;1;0;0;1;0;0;0
7;m;55;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Alle 2-3 Tage;1;0;0;0;1;1;1;1;0;0;0
8;m;29;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;1;1;0;1;0;0;Mehrmals am Tag;0;0;1;0;1;1;1;1;0;0;0
9;f;36;1;Hamburg;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;1;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
10;f;52;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;0;0;1;0;Alle 2-3 Tage;0;0;1;0;1;1;0;0;0;0;0
11;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;1;1;0;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
12;f;63;6;Mecklenburg-Vorpommern;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;0;1;0;Ein Mal pro Woche;0;0;0;1;0;0;0;1;0;0;0
13;m;36;6;Mecklenburg-Vorpommern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;1;DEU;0;0;0;0;0;0;0;1;-;-;-;-;-;-;-;-;-;-;-;-
14;m;40;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
15;m;62;7;Sachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Ohne Abschluss;0;DEU;0;1;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
16;f;32;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;0;0;1;1;1;0;Alle 2-3 Wochen;1;1;1;1;1;1;0;0;0;1;0
17;f;42;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;1;0;1;0;Ein Mal am Tag;1;0;0;0;1;0;1;1;0;0;0
18;m;27;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;1;0;1;1;1;0;0;0;0;0;0
19;m;45;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;1;1;1;0;1;0;Ein Mal pro Woche;0;0;1;1;0;1;0;0;0;0;0
20;f;48;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
21;m;35;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;1;1;0;0;1;0;1;1;0;0
22;m;50;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;0;DEU;1;1;0;0;1;0;0;0;Alle 2-3 Tage;1;0;1;0;1;0;0;1;0;0;0
23;f;56;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;1;1;0;0;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
24;f;29;1;Bremen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;0;1;0;1;1;1;1;0;-;-;-;-;-;-;-;-;-;-;-;-
25;m;38;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;1;1;1;1;1;1;1;0;1;0
26;m;51;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;1;DEU;0;1;1;1;0;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
27;m;59;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;0;0;0;0;0;0;1;0;0;0
28;f;30;3a;Rheinland-Pfalz;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
29;f;26;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;0;1;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
30;m;45;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;0;0;1;0;Ein Mal pro Woche;1;0;1;0;1;0;1;1;0;0;0
31;m;45;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;1;1;0;0;1;1;1;0;Alle 2-3 Wochen;1;0;1;1;1;0;1;1;0;0;0
32;f;25;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;1;0;0;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
33;m;33;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;0;1;1;1;1;0;1;1;0;0
34;f;37;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;1;1;1;1;1;1;1;1;1;0
35;f;57;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
36;m;55;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;0;0;0;0;0;1;0;1;1;0;0
37;m;42;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Tage;1;0;0;0;1;0;0;1;0;0;0
